County_FIPS_x,County,state_FIPS,State,pop_Year,pop_Population,pop_merge_indicator,pov_poverty_rate_percent,pov_merge_indicator,minc_median_income_USD_2021,minc_merge_indicator,state_county,opioid_YEAR,opioid_State,opioid_County,opioid_morphine_equivalent_g,opioid_state_county_yr,opioid_merge_indicator,FIPS|YEAR,County_FIPS_y,mort_year,mort_overdose_deaths,mort_merge_indicator
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2006,AL,AUTAUGA,17100.54222475,AL|AUTAUGA|2006,both,01001|2006,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2007,AL,AUTAUGA,19157.84048365,AL|AUTAUGA|2007,both,01001|2007,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2008,AL,AUTAUGA,21786.1531253875,AL|AUTAUGA|2008,both,01001|2008,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2009,AL,AUTAUGA,24441.5768683875,AL|AUTAUGA|2009,both,01001|2009,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2010,AL,AUTAUGA,26183.3231679375,AL|AUTAUGA|2010,both,01001|2010,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2011,AL,AUTAUGA,28462.4137929375,AL|AUTAUGA|2011,both,01001|2011,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2012,AL,AUTAUGA,30268.9443618,AL|AUTAUGA|2012,both,01001|2012,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2013,AL,AUTAUGA,29963.758162725,AL|AUTAUGA|2013,both,01001|2013,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2014,AL,AUTAUGA,30352.0888245375,AL|AUTAUGA|2014,both,01001|2014,,,,left_only
01001,AUTAUGA,01,AL,2021,"59,203",both,10.7,both,"66,444",both,AL|AUTAUGA,2015,AL,AUTAUGA,28643.150037,AL|AUTAUGA|2015,both,01001|2015,,,,left_only
01003,BALDWIN,01,AL,2021,"239,439",both,10.8,both,"65,658",both,AL|BALDWIN,2006,AL,BALDWIN,51039.829050325,AL|BALDWIN|2006,both,01003|2006,01003,2006.0,11.0,both
01003,BALDWIN,01,AL,2021,"239,439",both,10.8,both,"65,658",both,AL|BALDWIN,2007,AL,BALDWIN,60330.6798214875,AL|BALDWIN|2007,both,01003|2007,01003,2007.0,24.0,both
01003,BALDWIN,01,AL,2021,"239,439",both,10.8,both,"65,658",both,AL|BALDWIN,2008,AL,BALDWIN,66829.809691175,AL|BALDWIN|2008,both,01003|2008,01003,2008.0,19.0,both
01003,BALDWIN,01,AL,2021,"239,439",both,10.8,both,"65,658",both,AL|BALDWIN,2009,AL,BALDWIN,76393.6393183125,AL|BALDWIN|2009,both,01003|2009,01003,2009.0,29.0,both
